t_binance_ms,t_received_ns,t_sent_ns
1777485630394,1777485630064134740,1777485630064212194
1777485630394,1777485630064259987,1777485630064329953
1777485630394,1777485630064377155,1777485630064448303
1777485630394,1777485630064491662,1777485630064552069
1777485630394,1777485630064599862,1777485630064693675
1777485630394,1777485630064739694,1777485630064802170
1777485630394,1777485630064830846,1777485630064930670
1777485630394,1777485630064976197,1777485630065037195
1777485630394,1777485630065077400,1777485630065141749
1777485630394,1777485630065196440,1777485630065278428
1777485630395,1777485630065316268,1777485630065387810
1777485630395,1777485630065439841,1777485630065507836
1777485630395,1777485630065570509,1777485630065642839
1777485630395,1777485630065686691,1777485630065772423
1777485630395,1777485630065819133,1777485630065897080
1777485630395,1777485630065942311,1777485630066000550
1777485630395,1777485630066046767,1777485630066118013
1777485630404,1777485630069288925,1777485630069491529
1777485630407,1777485630071950371,1777485630072381496
1777485630407,1777485630072467129,1777485630072625586
1777485630453,1777485630117455689,1777485630117686477
1777485630453,1777485630117847890,1777485630118651113
1777485630453,1777485630118784737,1777485630118918854
1777485630453,1777485630119689951,1777485630119841707
1777485630453,1777485630120755594,1777485630120946373
1777485630453,1777485630121503337,1777485630121651349
1777485630453,1777485630121779553,1777485630121864497
1777485630453,1777485630121913965,1777485630122004822
1777485630453,1777485630122081094,1777485630122169093
1777485630453,1777485630122219941,1777485630122300253
1777485630454,1777485630125105374,1777485630125325026
1777485630454,1777485630125974325,1777485630126634858
1777485630454,1777485630126795877,1777485630126934724
1777485630454,1777485630127219414,1777485630128323587
1777485630454,1777485630128723277,1777485630129573505
1777485630454,1777485630129659532,1777485630129814737
1777485630454,1777485630129894064,1777485630130110859
1777485630456,1777485630130137465,1777485630130271188
1777485630456,1777485630130314054,1777485630130372096
1777485630456,1777485630130411907,1777485630130484238
1777485630458,1777485630130530159,1777485630130619143
1777485630506,1777485630169234049,1777485630169413890
1777485630639,1777485630299321364,1777485630299485536
1777485630920,1777485630577462328,1777485630577655965
1777485630920,1777485630577690553,1777485630577735686
1777485630920,1777485630577809790,1777485630577891778
1777485630920,1777485630577984901,1777485630578052797
1777485630920,1777485630578084133,1777485630578169570
1777485630920,1777485630578216969,1777485630578294719
1777485630920,1777485630578324282,1777485630578376116
1777485630922,1777485630579739949,1777485630579895844
1777485630922,1777485630580775240,1777485630580891521
1777485630922,1777485630581298207,1777485630581421780
1777485630922,1777485630581463562,1777485630581576985
1777485630922,1777485630581610785,1777485630581665772
1777485630922,1777485630581712678,1777485630581769538
1777485630922,1777485630581830733,1777485630581872613
1777485630922,1777485630581949083,1777485630582050680
1777485630922,1777485630582096996,1777485630582157304
1777485630922,1777485630582188640,1777485630582250821
1777485630922,1777485630582310439,1777485630582364638
1777485630923,1777485630584244146,1777485630584388708
1777485630923,1777485630585191734,1777485630585360439
1777485630923,1777485630585433361,1777485630585494950
1777485630923,1777485630585543236,1777485630585600194
1777485630923,1777485630585646017,1777485630585727512
1777485630923,1777485630585840737,1777485630585886560
1777485630923,1777485630585949036,1777485630586005205
1777485630923,1777485630586050239,1777485630586133311
1777485630937,1777485630593000960,1777485630593185432
1777485630979,1777485630635314180,1777485630635452829
1777485631315,1777485630967744474,1777485630968100608
1777485631315,1777485630968832880,1777485630969050068
1777485631315,1777485630969076281,1777485630969135209
1777485631315,1777485630969169502,1777485630969226361
1777485631315,1777485630969259472,1777485630969316725
1777485631315,1777485630969363139,1777485630969405611
1777485631315,1777485630969473310,1777485630969529184
1777485631315,1777485630969561013,1777485630969624967
1777485631315,1777485630969669706,1777485630969710700
1777485631315,1777485630969742529,1777485630969782636
1777485631315,1777485630969813775,1777485630969853685
1777485631315,1777485630969907096,1777485630969984156
1777485631317,1777485630970041311,1777485630970189618
1777485631317,1777485630970251306,1777485630970321271
1777485631317,1777485630970365615,1777485630970435384
1777485631317,1777485630970470071,1777485630970550580
1777485631317,1777485630970596107,1777485630970636116
1777485631317,1777485630970681839,1777485630970735250
1777485631317,1777485630970766192,1777485630970827979
1777485631318,1777485630972994148,1777485630973103924
1777485631318,1777485630973192909,1777485630973278148
1777485631318,1777485630973312737,1777485630973356293
1777485631318,1777485630973390191,1777485630973444193
1777485631318,1777485630973476712,1777485630973518888
1777485631511,1777485631159649796,1777485631159838769
