t_binance_ms,t_received_ns,t_sent_ns
1777485029524,1777485029182201730,1777485029182301834
1777485029524,1777485029183209172,1777485029183388196
1777485029524,1777485029183857580,1777485029184044486
1777485029524,1777485029184890048,1777485029185178831
1777485029524,1777485029185568999,1777485029185673931
1777485029524,1777485029185975228,1777485029186067646
1777485029524,1777485029186841972,1777485029187032130
1777485029524,1777485029188001047,1777485029188192979
1777485029524,1777485029189255596,1777485029189511865
1777485029524,1777485029189759366,1777485029190441273
1777485029524,1777485029190767399,1777485029190889572
1777485029524,1777485029191829424,1777485029192065102
1777485029524,1777485029192313489,1777485029192458620
1777485029524,1777485029192685824,1777485029192776567
1777485029524,1777485029193587349,1777485029193751002
1777485029524,1777485029193945298,1777485029194358128
1777485029566,1777485029215608201,1777485029215813926
1777485029601,1777485029250119656,1777485029250270305
1777485029610,1777485029259131752,1777485029259348118
1777485029765,1777485029411683353,1777485029411863362
1777485029769,1777485029415366008,1777485029415537051
1777485029895,1777485029540273212,1777485029540578942
1777485029968,1777485029612610876,1777485029612850001
1777485029968,1777485029613338401,1777485029613579005
1777485029968,1777485029614071543,1777485029614149084
1777485029968,1777485029614997700,1777485029615155146
1777485029968,1777485029615811732,1777485029615989771
1777485029968,1777485029616575220,1777485029616711287
1777485029968,1777485029617772623,1777485029617897063
1777485029968,1777485029618505272,1777485029618634540
1777485029968,1777485029619113875,1777485029619243537
1777485029968,1777485029619681688,1777485029619864160
1777485029968,1777485029620617894,1777485029620750709
1777485029968,1777485029621259307,1777485029621318226
1777485029968,1777485029622234333,1777485029622337097
1777485029968,1777485029622660365,1777485029622738892
1777485029969,1777485029625100788,1777485029625252816
1777485029969,1777485029625689292,1777485029625858266
1777485029969,1777485029626404896,1777485029626473273
1777485029969,1777485029627122273,1777485029627220406
1777485029969,1777485029627645847,1777485029627768612
1777485029969,1777485029628755166,1777485029628962073
1777485029969,1777485029629685855,1777485029629981634
1777485029969,1777485029630435845,1777485029630525307
1777485029969,1777485029630760689,1777485029630851630
1777485029969,1777485029631585757,1777485029631681821
1777485029969,1777485029632474473,1777485029632577237
1777485029969,1777485029632895382,1777485029632948981
1777485029969,1777485029633552165,1777485029633647244
1777485029969,1777485029633998198,1777485029634054063
1777485029971,1777485029634562464,1777485029634658035
1777485029971,1777485029635429011,1777485029635529017
1777485029971,1777485029635956428,1777485029636050719
1777485029971,1777485029636826326,1777485029636933523
1777485029971,1777485029637276004,1777485029637331475
1777485029971,1777485029637754946,1777485029638036044
1777485029971,1777485029638648490,1777485029638740219
1777485029971,1777485029639042796,1777485029639127628
1777485029971,1777485029639733472,1777485029639836039
1777485029976,1777485029640214778,1777485029640308379
1777485029976,1777485029640833727,1777485029640913435
